	id	name	is_closed	latitude	longitude	address	rating	categories
0	oWTn2IzrprsRkPfULtjZtQ	The Burger's Priest	False	43.666699590075	-79.3155846030585	1636 Queen Street E	3.5	Burgers
1	2aIgbnGUg8VC0u9iXO-wnQ	O Sushi	False	43.66654	-79.31693	6 Coxwell Avenue	3.5	Sushi Bars
2	yP71_LfUPnGIRqA2g09RoQ	Lake Inez	False	43.67234	-79.32064	1471 Gerrard Street E	4.5	Bars
3	Ohengzi4viLEXqhK50aLxg	Jaclyn's	False	43.66627	-79.31802	1588 Queen Street E	4.5	Caribbean
4	NPHZkn1e-tSJAbo8Zm9rYw	Burrito Bandidos	False	43.6665611	-79.3164215	1614 Queen Street E	3.5	Mexican
5	Huo1lJmVkdqvFuLtA74Nhw	Casa Di Giorgios	False	43.6668499	-79.31518	1646 Queen St E	4.0	Italian
6	RUd_M7DPJq1I3DPq0oF--w	Lahore Tikka House	False	43.67148	-79.32451	1365 Gerrard Street E	3.5	Halal
7	opy1am7eajjAO2-eyojoIw	McDonald's	False	43.6650808	-79.3192955	29-31 Woodward Avenue	2.5	Fast Food
8	dAmVTQ6ukuLh4UxTmBoRkg	Maha's	False	43.67167	-79.32853	226 Greenwood Avenue	4.0	Egyptian
9	yOxuSjJcW7oEWYz9yb4HYA	Leslie Jones	False	43.6628904	-79.3318366	1182 Queen Street E	4.0	Comfort Food
10	ByR685ThcDqQ_bb4A1oj_Q	Tea N Bannock	False	43.671182	-79.3273557	1294 Gerrard Street E	4.5	American (Traditional)
11	Y_IdXaaFzRr13kai9vfqgQ	Yaya Greek Bistro	False	43.6630783791201	-79.33178893082199	1186 Queen Street E	4.0	Breakfast & Brunch
12	0iTpgvz5XJzFAo253nIE0g	The Sidekick	False	43.6645889	-79.3251114	1374 Queen Street E	4.5	Cafes
13	NmXB2KhGXHKMCMAKILpCCA	Eulalie's Corner Store	False	43.6725388	-79.3217316	1438 Gerrard Street E	4.5	Pubs
14	7vvliv5R0MD7BQ2CsquhcQ	Lazy Daisy's Cafe	False	43.6726699	-79.3194	1515 Gerrard Street E	4.0	Cafes
15	3qTSOuJ-ZyU1L7o62KHSIg	Gio Rana's Really Really Nice Restaurant	False	43.663335336163	-79.3304189287309	1220 Queen Street East	4.0	Italian
16	LzgPbiGjoq1ZaZZSNHKn7w	Leela Indian Food Bar	False	43.6719741	-79.3243773	1386 Gerrard Street E	4.5	Indian
17	wmTc6sSJxPwSj4NyvgffAw	Nodo Leslieville	False	43.66311	-79.33162	1192 Queen Street East	4.0	Italian
18	np6Eytu5v98oleQuQ5hT5Q	Chick-N-Joy	False	43.66509	-79.32132	1483 Queen Street E	4.0	Fast Food
19	vrAZ6qenlYwHfgzSSlmkiQ	Regency Restaurant	False	43.67201	-79.32238	1423 Gerrard Street E	4.0	Indian
20	a-Mo7Ipu_c5y21mmg0-F7g	Agio	False	43.67599	-79.45066	1351 St Clair Avenue W	4.5	Italian
21	86W-L1l70wL-7n0lSfoY-Q	Rush Hour	False	43.67111	-79.44037	1438A Dufferin Street	4.5	Portuguese
22	VkdUpbDrxaPGdNXpWpKh9Q	Love Chix	False	43.6696641	-79.4486514	33 Powerhouse Street	4.0	Chicken Shop
23	OlklbRrfBIlc6obPtZPF3w	CANO Restaurant	False	43.67871	-79.44058	1108 St Clair Avenue W	4.5	Italian
24	rHxc9sR5ELjboLqd_fUzJg	Barista & Chef	False	43.6794533	-79.4374528	1006 Saint Clair Avenue W	4.5	Mediterranean
25	02Ycww2etUAxorZb5gIM8Q	Tre Mari Bakery	False	43.6765	-79.44868	1311 Saint Clair Avenue W	4.5	Bakeries
26	fyekfJA4hXNgMQ09HL9WIA	Famiglia Baldassarre	False	43.67052	-79.4350599	122 Geary Avenue	4.5	Italian
27	ERnG-1q3igX3VSgm5uLZ6A	Pizza e Pazzi	False	43.678	-79.44385892512817	1182 St Clair Avenue W	4.0	Pizza
28	nQxYkbV4P2h2HqJB0nfpxw	Rio 40 Restaurant	False	43.67747	-79.44643	1256 Saint Clair Avenue West	4.0	Brazilian
29	a4MVM9E9022sYFrrYWy9DQ	Marcello’s pizzeria	False	43.67783	-79.4425399	1163 Saint Clair Avenue W	4.0	Pizza
30	Q3SdFs_6P3BPhPPywHZqBQ	Khmer Thai Restaurant	False	43.67937	-79.43781	1018 St Clair Avenue W	4.0	Thai
31	Cx0o524EbpLh8Luvjx6DMw	Parallel	False	43.6694450818033	-79.4385803863406	217 Geary Avenue	4.0	Mediterranean
32	ppINvSvnpppdPo3Np61qdA	Good Behaviour	False	43.670771021124935	-79.434624	342 Westmoreland Avenue N	4.5	Ice Cream & Frozen Yogurt
33	mBWx_YzT-ZQPqqPGcBsiwQ	King's Tacos	False	43.67803	-79.4440599	1190 St Clair Avenue W	4.0	Mexican
34	H9oFWXHcqaM16WIw_smZAA	Atomic 10	False	43.67849	-79.43952	145 Lauder Ave	4.5	Mexican
35	2cYTy7YlmlS9uuuQI1Trzg	Piri Piri Grill	False	43.6662515314375	-79.4497762620449	1444 Dupont Street	3.5	Portuguese
36	GlxE_VRBdSMxzug_d9XnAg	Tuckshop Kitchen	False	43.66499	-79.45568	1640 Dupont Street	4.5	Sandwiches
37	W8Rv62fsDCbDp0L-Vl1NFg	Frank’s Pizza House	False	43.67686	-79.44926	1352 St Clair Avenue W	3.5	Pizza
38	RKXKSzHlSvZSoIy7b5Sxjg	The Sovereign	False	43.67299	-79.44002	1359 Davenport Road	4.5	Cafes
39	R2ngkZC6KtJwRK_fmJk4WA	DeSotos Eatery	False	43.6786263	-79.4396588	1079 St Clair Avenue West	4.0	Gastropubs
40	oWTn2IzrprsRkPfULtjZtQ	The Burger's Priest	False	43.666699590075	-79.3155846030585	1636 Queen Street E	3.5	Burgers
41	Huo1lJmVkdqvFuLtA74Nhw	Casa Di Giorgios	False	43.6668499	-79.31518	1646 Queen St E	4.0	Italian
42	2aIgbnGUg8VC0u9iXO-wnQ	O Sushi	False	43.66654	-79.31693	6 Coxwell Avenue	3.5	Sushi Bars
43	Ohengzi4viLEXqhK50aLxg	Jaclyn's	False	43.66627	-79.31802	1588 Queen Street E	4.5	Caribbean
44	NPHZkn1e-tSJAbo8Zm9rYw	Burrito Bandidos	False	43.6665611	-79.3164215	1614 Queen Street E	3.5	Mexican
45	yP71_LfUPnGIRqA2g09RoQ	Lake Inez	False	43.67234	-79.32064	1471 Gerrard Street E	4.5	Bars
46	RUd_M7DPJq1I3DPq0oF--w	Lahore Tikka House	False	43.67148	-79.32451	1365 Gerrard Street E	3.5	Halal
47	dAmVTQ6ukuLh4UxTmBoRkg	Maha's	False	43.67167	-79.32853	226 Greenwood Avenue	4.0	Egyptian
48	ByR685ThcDqQ_bb4A1oj_Q	Tea N Bannock	False	43.671182	-79.3273557	1294 Gerrard Street E	4.5	American (Traditional)
49	NmXB2KhGXHKMCMAKILpCCA	Eulalie's Corner Store	False	43.6725388	-79.3217316	1438 Gerrard Street E	4.5	Pubs
50	0ORDYMDX027EhfsoFOkNcQ	British Style Fish & Chips	False	43.66861	-79.31723	73 Coxwell Avenue	4.0	Fish & Chips
51	7vvliv5R0MD7BQ2CsquhcQ	Lazy Daisy's Cafe	False	43.6726699	-79.3194	1515 Gerrard Street E	4.0	Cafes
52	uChnTTQzV7Nu7EDrluF6uw	Sauvignon Bistro	False	43.668453	-79.307099	1862 Queen Street E	4.0	Canadian (New)
53	LzgPbiGjoq1ZaZZSNHKn7w	Leela Indian Food Bar	False	43.6719741	-79.3243773	1386 Gerrard Street E	4.5	Indian
54	A-KVm7iKLOe1X1yAQP13FA	Udupi Palace	False	43.67273	-79.3210299	1460 Gerrard Street E	3.5	Indian
55	vrAZ6qenlYwHfgzSSlmkiQ	Regency Restaurant	False	43.67201	-79.32238	1423 Gerrard Street E	4.0	Indian
56	0iTpgvz5XJzFAo253nIE0g	The Sidekick	False	43.6645889	-79.3251114	1374 Queen Street E	4.5	Cafes
57	10sJZwLXesYzSJYxaMmBnQ	Butter Chicken Roti	False	43.6663972918034	-79.316825196147	1610 Queen Street E	2.5	Indian
58	O-QzKFXawEOiJmonWgvKbQ	Le Conciliabule	False	43.671365	-79.3272249	1300 Gerrard Street E	4.5	Bakeries
59	opy1am7eajjAO2-eyojoIw	McDonald's	False	43.6650808	-79.3192955	29-31 Woodward Avenue	2.5	Fast Food
60	Sk0Ycurq7D083Qs8x65b_Q	George Restaurant	False	43.65337263523713	-79.37432933100068	111 Queen Street E	4.5	Canadian (New)
61	mZRKH9ngRY92bI_irrHq6w	Richmond Station	False	43.6513729	-79.379285	1 Richmond Street W	4.5	Canadian (New)
62	fQwB9Z98YEhkJit7c3z51A	The Carbon Bar	False	43.6531872633836	-79.3747868765724	99 Queen Street East	4.0	Barbeque
63	nBl_4gw5ecGzNkHyzfii8g	Terroni	False	43.6508	-79.3756	57A Adelaide Street E	3.5	Italian
64	trKyIRyjKqVSZmcU0AnICQ	Pearl Diver	False	43.65163	-79.37375	100 Adelaide Street E	4.0	Seafood
65	r_BrIgzYcwo1NAuG9dLbpg	Pai Northern Thai Kitchen	False	43.64784	-79.38872	18 Duncan Street	4.5	Thai
66	k3fn9JFiNLNy2q5p0cE1kg	Carisma	False	43.65032	-79.37596	15 Toronto Street	4.0	Italian
67	n2NRR4N-kmeDvhHJivHGkA	Gyu-Kaku Japanese BBQ	False	43.6515	-79.37482	81 Church Street	4.0	Japanese
68	O-uIEuv7JLUHajkemx_sVw	Beerbistro	False	43.649467134996364	-79.3771696548727	18 King Street E	4.0	Bistros
69	dm2qhNgxjKGE9GvcfSPD2Q	Hendriks Restaurant & Bar	False	43.653501	-79.380048	218 Yonge Street	4.0	American (Traditional)
70	-smUKwiwkWmz1qWUcgqYsg	Cafe Oro Di Napoli	False	43.6514257145518	-79.3721591972351	75 Jarvis Street	4.5	Pizza
71	DE89UdHFMCN6DtYWZuer5A	Hokkaido Ramen Santouka	False	43.656321731393	-79.377499580039	91 Dundas Street E	4.0	Ramen
72	bAdlbqHs4ayJxOXOUFQDyw	Nami Restaurant	False	43.650977509378	-79.3754126895	55 Adelaide Street East	3.5	Japanese
73	Yl2TN9c23ZGLUBSD9ks5Uw	Byblos	False	43.647546	-79.388123	11 Duncan Street	4.5	Mediterranean
74	gy5pr5bFAjOL5rERSdMCLg	The Keg Steakhouse + Bar - York Street	False	43.650011481693866	-79.38395891300931	165 York Street	4.0	Steakhouses
75	cQK9M2JAwETQnnBoYyua5A	The Senator	False	43.65574	-79.37896	249 Victoria Street	4.0	Breakfast & Brunch
76	SPj8L5VMep_OhkoNz-WLQg	The Chase	False	43.6510568545686	-79.379271238786	10 Temperance Street	3.5	Seafood
77	ONCQS_-UjcHa_J4ueZG1Hw	Haidilao Hot Pot	False	43.65463297669771	-79.37983900308609	237 Yonge Street	5.0	Chinese
78	VBcmyBxAPcpzbbnPbFfttA	La Bettola Di Terroni	False	43.652094784779315	-79.37804176337187	106 Victoria Street	3.5	Italian
79	exysqt4RqxkF9I8Z2NEUsQ	King Taps	False	43.6486379269	-79.3817439	100 King Street W	4.0	Canadian (New)
80	nrq5H3LZicjMG0wv7gy08g	Kintaro Izakaya	False	43.66417	-79.38006	459 Church Street	4.0	Japanese
81	9tfw-OEfpF0qC2hSzRks6g	Hair of the Dog	False	43.662946823805	-79.379592870241	425 Church Street	4.0	Pubs
82	RtUvSWO_UZ8V3Wpj0n077w	KINKA IZAKAYA ORIGINAL	False	43.66042406856627	-79.37890046282942	398 Church Street	4.0	Japanese
83	NoT7u2QNEvsVbH9MIzAzlw	Si Lom Thai Bistro	False	43.66503	-79.38082	534 Church Street	4.0	Thai
84	4Ua5_CI0rKq3ar5hUTUprw	KINTON RAMEN	False	43.6603113	-79.3789004	396 Church Street	4.0	Ramen
85	Zkn1y0l3eDjzIONKMNl-ew	Storm Crow Manor	False	43.6667489584503	-79.3816431239247	580 Church Street	4.0	Bars
86	hXVaXtDO9NnvCOSMtFuHRg	Kawa Sushi	False	43.66397	-79.37992	451 Church Street	3.5	Sushi Bars
87	RXyM7VrCiEFthJxQ4bGmBg	Sambucas On Church	False	43.66511	-79.38042	489 Church Street	3.5	Italian
88	tCjlXROlbcaGiBRfU2jaiw	The Keg Steakhouse + Bar	False	43.6668345	-79.3779253	515 Jarvis Street	4.0	Steakhouses
89	bKUXKjUIY34BTowDBwFjbQ	The Churchmouse: A Firkin Pub	False	43.6646112519968	-79.3801465109641	475 Church Street	3.5	Pubs
90	saijdv-vXJrvsCfvr7SZOw	Katsuya	False	43.65995	-79.37882	66 Gerrard Street E	4.5	Japanese
91	2Y-28XrkMeeA4FFvv_73tw	Darvish Restaurant	False	43.66337	-79.38412	508 Yonge Street	4.0	Persian/Iranian
92	BPKtVKuEfubfU2LZFSlf1w	Gurume Sushi	False	43.6613914599157	-79.38099526635763	45 Carlton Street	5.0	Sushi Bars
93	HoNf-r8TzlSG05gbgpNiug	Torch Pressed Sushi	False	43.6659093206019	-79.3808230385184	507 Church St	4.5	Japanese
94	r49iBfbnfoK7yt4rdsL_7g	Fushimi	False	43.66526	-79.38032	491 Church Street	3.5	Japanese
95	6HzcFV_bcB3Vv-3eGDHf_A	Four Four South Village	False	43.6622887692154	-79.3836339335004	474 Yonge Street	3.5	Taiwanese
96	iB1iGtTgr3fucKrT9yxinw	Mr.Tonkatsu	False	43.66434	-79.38454	548 Yonge Street	4.0	Japanese
97	U_jPOTd-Z5KATbTYnDeNxg	Burrito Bandidos	False	43.6630940440624	-79.3840069720838	2 Grosvenor Street	4.0	Mexican
98	1nQMj-F3Oz3IeP9h10CNIA	The Blake House	False	43.66452	-79.37718	449 Jarvis Street	4.0	Pubs
99	ALkOqlWODyxPg5VSp0HLrg	Zakkushi On Carlton	False	43.66343	-79.37062	193 Carlton Street	4.0	Japanese
100	mZRKH9ngRY92bI_irrHq6w	Richmond Station	False	43.6513729	-79.379285	1 Richmond Street W	4.5	Canadian (New)
101	f5O7v_X_jCg2itqacRfxhg	Sansotei Ramen	False	43.655	-79.38643	179 Dundas Street W	4.0	Ramen
102	VS0Tm4uB_oZ7zGcANOl8uw	Dzo Viet Eatery	False	43.65445	-79.39178	308 Dundas Street W	4.0	Vietnamese
103	KR8ErN2eKUlmohxmYDLBBg	Koh Lipe	False	43.65586	-79.39347	35 Baldwin Street	4.0	Thai
104	_BAewGvIIzrNJtCzViIvSQ	Omai Restaurant	False	43.6561	-79.39234	3 Baldwin Street	4.0	Japanese
105	pwtTn72x7Nqp1imaXw9LvQ	Mercatto	False	43.66018257611177	-79.38755551742875	101 College Street	3.5	Italian
106	gy5pr5bFAjOL5rERSdMCLg	The Keg Steakhouse + Bar - York Street	False	43.650011481693866	-79.38395891300931	165 York Street	4.0	Steakhouses
107	orrhJxM6V1USwccG7MlxmA	Light Cafe	False	43.65594	-79.393	23 Baldwin Street	4.0	Cafes
108	6eRSdODyj9GS0w6zlhrWkg	Adega Restaurante	False	43.65732	-79.38323	33 Elm St	4.0	Portuguese
109	vvapae5E4fnZXWG8Wylzyw	Gyubee Japanese Grill - Dundas	False	43.6551427	-79.3857634	157 Dundas St W	4.5	Japanese
110	qaNt4vtVdge_S68DVjw5Jg	The Queen And Beaver Public House	False	43.65734	-79.38334	35 Elm Street	4.0	Pubs
111	RtUvSWO_UZ8V3Wpj0n077w	KINKA IZAKAYA ORIGINAL	False	43.66042406856627	-79.37890046282942	398 Church Street	4.0	Japanese
112	BWCfyBdnTvuXp6A_8wt8cA	Ikkousha Ramen	False	43.650915297488666	-79.38922205031365	249 Queen Street W	4.5	Ramen
113	OFAiA6En2HD0CqLkFDCNpg	The Host Fine Indian Cuisine	False	43.6567086	-79.386173	87 Elm Street	3.5	Indian
114	7ODXq--HE7QpzvWwgk5rMA	Barberian's Steak House	False	43.6576	-79.38212	7 Elm Street	4.0	Steakhouses
115	Zl6csaZ5HBka3SKBphHXrQ	Midi Bistro	False	43.65582	-79.39224	168 McCaul Street	3.5	French
116	Q4RSmF0s-AkaegrLFCLEbg	Donatello Restaurant	False	43.657425	-79.383474	37 Elm Street	4.0	Italian
117	A6bnXx1see4yZSaVVCVDyw	Rolltation	False	43.65477	-79.3874	207 Dundas Street W	4.0	Sushi Bars
118	pSMK_FtULKiU-iuh7SMKwg	Blaze Pizza	False	43.6565313336776	-79.3800427473602	10 Dundas Street East	4.5	Pizza
119	y166Ve7c7y2EnnePytr71Q	1915 Lan Zhou Ramen	False	43.654965	-79.3866757	185 Dundas Street W	4.0	Chinese
120	f0v4S0q6Dlf_OQILazIyuw	Konjiki Ramen Downtown	False	43.65729	-79.38358	41 Elm Street	4.0	Ramen
121	qaNt4vtVdge_S68DVjw5Jg	The Queen And Beaver Public House	False	43.65734	-79.38334	35 Elm Street	4.0	Pubs
122	6eRSdODyj9GS0w6zlhrWkg	Adega Restaurante	False	43.65732	-79.38323	33 Elm St	4.0	Portuguese
123	Q4RSmF0s-AkaegrLFCLEbg	Donatello Restaurant	False	43.657425	-79.383474	37 Elm Street	4.0	Italian
124	pSMK_FtULKiU-iuh7SMKwg	Blaze Pizza	False	43.6565313336776	-79.3800427473602	10 Dundas Street East	4.5	Pizza
125	mZRKH9ngRY92bI_irrHq6w	Richmond Station	False	43.6513729	-79.379285	1 Richmond Street W	4.5	Canadian (New)
126	7ODXq--HE7QpzvWwgk5rMA	Barberian's Steak House	False	43.6576	-79.38212	7 Elm Street	4.0	Steakhouses
127	r_BrIgzYcwo1NAuG9dLbpg	Pai Northern Thai Kitchen	False	43.64784	-79.38872	18 Duncan Street	4.5	Thai
128	wpQsmMvdhefqIlxvRt_Jbg	DonDon Izakaya	False	43.65571	-79.38459	130 Dundas Street West	3.0	Japanese
129	LBHbyID7tcaGszznHtnCrw	JOEY Eaton Centre	False	43.6558708964233	-79.382009190213	1 Dundas St W	3.5	Canadian (New)
130	cbAVxQjvujfZU0RvqAmtzg	Mogouyan Hand-Pulled Noodles	False	43.65573	-79.38449	124 Dundas St W	4.5	Noodles
131	sApPN_ZTcxtJO61xH9uPkg	Moon Palace	False	43.6561951	-79.38240341165705	40 Dundas Street W	4.0	Seafood
132	-av1lZI1JDY_RZN2eTMnWg	Salad King Restaurant	False	43.65766	-79.38164	340 Yonge Street	3.5	Thai
133	f5O7v_X_jCg2itqacRfxhg	Sansotei Ramen	False	43.655	-79.38643	179 Dundas Street W	4.0	Ramen
134	u2ETlHOcFdRz4BxcdfsK0Q	Bangkok Garden Restaurant	False	43.65789	-79.3827	18 Elm Street	3.0	Thai
135	0JqPI6mv7xHloURlf0L4Mg	Thai On Yonge	False	43.65855	-79.38205	370 Yonge Street	4.0	Thai
136	h3PhHT3wM3alY8Of7Pov7g	Congee Queen	False	43.658302	-79.381986	360 Yonge Street	4.0	Cantonese
137	vvapae5E4fnZXWG8Wylzyw	Gyubee Japanese Grill - Dundas	False	43.6551427	-79.3857634	157 Dundas St W	4.5	Japanese
138	4EHm8WnFG-AbRpK7w6UEvg	You Don Ya	False	43.6557137988527	-79.3841209246949	108 Dundas St W	3.5	Japanese
139	ttuEwktrkmh3TUlSFPZqAA	Banh Mi Boys	False	43.6590974	-79.3820781	399 Yonge Street	4.0	Vietnamese
140	RrqcZLX05djKo1GVLMXMDQ	Korean Village Restaurant	False	43.66461	-79.41444	628 Bloor Street W	4.0	Korean
141	QA30Lo1NlV8SjnkmEkd1-A	Daldongnae	False	43.66434	-79.41566	658 Bloor Street	4.5	Korean
142	CN5nuUQod0f8g3oh99qq0w	KINKA IZAKAYA ANNEX	False	43.665157	-79.410658	559 Bloor St W	4.0	Japanese
143	nHFJtud7jWZhM9dHQ1eIRA	Buk Chang Dong Soon Tofu	False	43.66363	-79.4169299	691 Bloor Street W	4.0	Korean
144	lVVJMvqu4LXL5rBqjO6eqg	Tofu Village - House of Soon Tofu	False	43.66371	-79.4165699	681 Bloor Street W	4.0	Korean
145	XnNKFv5xqdPd9K1aAW-uUQ	Hancook Cheese Dakgalbi	False	43.66457	-79.41304	605 Bloor Street W	4.0	Korean
146	F_oPMHJrH42R67xp5eKtQA	Yummy Korean Food Restaurant	False	43.66469	-79.4140199	620 Bloor Street W	4.0	Korean
147	_XV7rJ-RZ7LvJXesGkYlDQ	MaMa Chef Korean Restaurant	False	43.66444	-79.41534	648 Bloor Street W	4.0	Korean
148	e41TP5cXZqSrz50xCBJqZw	Insomnia Restaurant & Lounge	False	43.665961	-79.411003	563 Bloor Street W	4.0	Lounges
149	rO3lZpVSoRMhhd0AEJBjlg	Sunrise House	False	43.66401	-79.41561	661 Bloor Street W	4.0	Korean
150	X6ZZksefmR_piQj2Gbnduw	Paldo Gangsan	False	43.664	-79.41743	694 Bloor Street  W	4.5	Korean
151	nktQ_aBRp5CmVOkXR0Mz1g	Arisu Korean BBQ & Sushi	False	43.6651	-79.41265	584 Bloor Street W	3.5	Japanese
152	fJvY-QjDY1ZWWArjx9rRIw	KINTON RAMEN	False	43.6642003	-79.416355	668 Bloor Street W	3.5	Ramen
153	5UgSHCX-V0iXagxUZ9LEXg	Her Chef	False	43.66457	-79.41292	599 Bloor Street W	4.5	Asian Fusion
154	o6Yor6ofIw2TqM3mN28Kzg	Tacos El Asador	False	43.6636499	-79.41686	689 Bloor Street W	4.0	Mexican
155	cj_9eTPR0JBqk9qt2VmzFw	Hodo Kwaja	False	43.66438	-79.41557	656 Bloor Street W	4.5	Bakeries
156	bRntmjztJ4dFDA_LYiEECw	Snakes & Lattes Annex	False	43.665	-79.4132	600 Bloor Street W	4.0	Bars
157	eKznX8VTfcQrjCqXpeobiw	Rasa	False	43.6627752	-79.4039682	196 Robert Street	4.5	Canadian (New)
158	jCpB1D_Hsc_dlF0ErNO-7w	Kintori Yakitori Izakaya	False	43.66419	-79.41632	668 Bloor Street W	3.5	Japanese
159	MMGnDeqMUNQsLC5V6BINjQ	Mr.Tonkatsu	False	43.66541	-79.41074	520 Bloor Street W	4.0	Japanese
160	K3NW8TEu4QRQvFvHer8v4A	Joso's	False	43.6751099	-79.39607	202 Davenport Road	4.5	Seafood
161	p1ohbPwI1QfjHQ2zRup5OA	Portici	False	43.67196	-79.39072	6 Scollard Street	4.0	Italian
162	_T7f2wUgNlJqxsR-cR89SQ	Scaramouche Restaurant Pasta Bar & Grill	False	43.68155	-79.39991	1 Benvenuto Place	4.5	French
163	lDpVyjENOz_qbxbRoyBi8w	Black Camel	False	43.677122232751	-79.389209714264	4 Crescent Road	4.5	Sandwiches
164	JG9UpsFR6hrqQqsKh_RyaQ	PLANTA Yorkville	False	43.67028	-79.38945	1221 Bay Street	4.0	Vegetarian
165	tCjlXROlbcaGiBRfU2jaiw	The Keg Steakhouse + Bar	False	43.6668345	-79.3779253	515 Jarvis Street	4.0	Steakhouses
166	uGLAEGqeJa4jtP1Io0sOrg	Mineral	False	43.67763	-79.38947	1027 Yonge Street	4.5	Noodles
167	3cAy1gxlprn1ue0q3L_ziw	Lee Chen Bistro	False	43.672372	-79.387436	813 Yonge Street	3.5	Dim Sum
168	9ET_RUNztevq4_OLAX80Gg	Café Boulud	False	43.6719213	-79.388922	60 Yorkville Avenue	3.5	Cafes
169	VA95qAV2PRH9gtTi2Vfv4Q	Trattoria Nervosa	False	43.67101	-79.39104	75 Yorkville Avenue	4.0	Italian
170	o19vbA9-BuvHXrE4nYJ60A	The Rebel House	False	43.67763	-79.39008	1068 Yonge Street	3.5	Pubs
171	nAnpTnodDchSl9H0f6R2pw	Bhoj Indian Cuisine	False	43.67277	-79.389	21 Davenport Road	4.0	Indian
172	O_UC_izJXcAmkm6HlEyGSA	Playa Cabana	False	43.6759577692695	-79.4011840224266	111 Dupont Street	4.0	Mexican
173	wtftZecNakP5WKwi-k0cYg	Kiro Sushi	False	43.6722662302551	-79.3874411896101	4 Collier Street	4.0	Japanese
174	Pz13Ru_-U4qoZiu89ezVmQ	Utsav	False	43.67094	-79.39086	69 Yorkville Ave	4.0	Food Delivery Services
175	CNPnbJlMmCx08geOvDmH7A	Blu Ristorante	False	43.67237	-79.39586	90 Avenue Road	4.0	Italian
176	OJ6zfenoK-eBNI7vvNrOsg	Fieramosca	False	43.66963	-79.39719	36A Prince Arthur Avenue	4.5	Italian
177	n_-CwlqV8fzEIUPky8Ibtw	The Oxley	False	43.67059	-79.39304	121 Yorkville Avenue	4.0	Pubs
178	O66Zy8Y13VBm72ZDhS4fIg	Sassafraz	False	43.6702957	-79.3910686	100 Cumberland Street	3.5	French
179	qR4EIktJfQKc4rnKgBzvtw	Gyubee Japanese Grill - Bloor	False	43.66716	-79.40047	335 Bloor Street W	4.0	Barbeque
180	K3NW8TEu4QRQvFvHer8v4A	Joso's	False	43.6751099	-79.39607	202 Davenport Road	4.5	Seafood
181	u71djaZjecGVU1MqMevQ4g	Ristorante Sotto Sotto	False	43.67374	-79.39646	120 Avenue Road	4.0	Italian
182	5XVE1NtoMNbXJJcLTj1qeA	Osteria Giulia	False	43.67431	-79.39668	134 Avenue Road	4.5	Italian
183	CNPnbJlMmCx08geOvDmH7A	Blu Ristorante	False	43.67237	-79.39586	90 Avenue Road	4.0	Italian
184	_T7f2wUgNlJqxsR-cR89SQ	Scaramouche Restaurant Pasta Bar & Grill	False	43.68155	-79.39991	1 Benvenuto Place	4.5	French
185	O_UC_izJXcAmkm6HlEyGSA	Playa Cabana	False	43.6759577692695	-79.4011840224266	111 Dupont Street	4.0	Mexican
186	obplcYF4spLRjxRN9O95-w	Mimi Chinese	False	43.67411	-79.3982	265 Davenport Road	4.0	Chinese
187	LHwzyN5cllTfLuZ8v2k_Bg	Le Paradis Brasserie Bistro	False	43.67506	-79.40025	166 Bedford Road	3.5	French
188	n_-CwlqV8fzEIUPky8Ibtw	The Oxley	False	43.67059	-79.39304	121 Yorkville Avenue	4.0	Pubs
189	OJ6zfenoK-eBNI7vvNrOsg	Fieramosca	False	43.66963	-79.39719	36A Prince Arthur Avenue	4.5	Italian
190	hqPII2zk7f0WxcQvZGRzSw	Pisac Peruvian Bistro	False	43.67724	-79.39836	16 Dupont St	4.5	Peruvian
191	JG9UpsFR6hrqQqsKh_RyaQ	PLANTA Yorkville	False	43.67028	-79.38945	1221 Bay Street	4.0	Vegetarian
192	3LsMfYF4cllUZbxve3scIA	Figures	False	43.67398	-79.39591	137 Avenue Road	3.5	Lounges
193	VA95qAV2PRH9gtTi2Vfv4Q	Trattoria Nervosa	False	43.67101	-79.39104	75 Yorkville Avenue	4.0	Italian
194	qR4EIktJfQKc4rnKgBzvtw	Gyubee Japanese Grill - Bloor	False	43.66716	-79.40047	335 Bloor Street W	4.0	Barbeque
195	O66Zy8Y13VBm72ZDhS4fIg	Sassafraz	False	43.6702957	-79.3910686	100 Cumberland Street	3.5	French
196	jTZYireK6pnPb6Rni0jygw	Wow Sushi	False	43.6685157490107	-79.3868207931519	11 Charles Street	4.0	Sushi Bars
197	1PJpo48hSChCbriXEHGSjw	Opus Restaurant	False	43.66921	-79.3972299	37 Prince Arthur Avenue	4.0	Wine Bars
198	Tv8uaK1ymZES4vjSpr1unQ	Govinda's	False	43.67684518603757	-79.3972886196434	243 Avenue Road	4.0	Vegetarian
199	Pz13Ru_-U4qoZiu89ezVmQ	Utsav	False	43.67094	-79.39086	69 Yorkville Ave	4.0	Food Delivery Services
200	p1ohbPwI1QfjHQ2zRup5OA	Portici	False	43.67196	-79.39072	6 Scollard Street	4.0	Italian
201	7UBOtHkr8dd1glP634Kkjw	Eataly Toronto	False	43.6696154170451	-79.3887948598768	55 Bloor Street W	3.5	Italian
202	JG9UpsFR6hrqQqsKh_RyaQ	PLANTA Yorkville	False	43.67028	-79.38945	1221 Bay Street	4.0	Vegetarian
203	9ET_RUNztevq4_OLAX80Gg	Café Boulud	False	43.6719213	-79.388922	60 Yorkville Avenue	3.5	Cafes
